"time" "POP.S1" "POP.S2" "POP.S3" "POP.E1" "POP.E2" "POP.E3" "POP.A1" "POP.A2" "POP.A3" "POP.I1" "POP.I2" "POP.I3" "POP.H1" "POP.H2" "POP.H3" "POP.R1" "POP.R2" "POP.R3" "POP.D1" "POP.D2" "POP.D3" "POP.Sv1" "POP.Sv2" "POP.Sv3" "POP.Ev1" "POP.Ev2" "POP.Ev3" "POP.Av1" "POP.Av2" "POP.Av3" "POP.Iv1" "POP.Iv2" "POP.Iv3" "POP.Hv1" "POP.Hv2" "POP.Hv3" "POP.Rv1" "POP.Rv2" "POP.Rv3" "POP.Dv1" "POP.Dv2" "POP.Dv3" "POP.Sw1" "POP.Sw2" "POP.Sw3" "POP.Ew1" "POP.Ew2" "POP.Ew3" "POP.Aw1" "POP.Aw2" "POP.Aw3" "POP.Iw1" "POP.Iw2" "POP.Iw3" "POP.Hw1" "POP.Hw2" "POP.Hw3" "POP.Rw1" "POP.Rw2" "POP.Rw3" "POP.Dw1" "POP.Dw2" "POP.Dw3" "VAX"
"1" 0 8375588.98984994 19390389.8031044 5889017.29389153 138939.689572335 213210.830653627 37818.0125673964 181892.279260003 180937.564618909 20670.2366761431 89588.734560897 230284.173151339 46007.9461501251 249.306756825015 5319.36694017483 6688.08571898084 3379000 6830952.26153157 1272778.42499583 0 0 0 0 0 500 0 0 0 0 0 0 0 0 0 0 0 0 0 0 500 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1311586.93009301
"2" 1 8354874.74591153 19344879.1662415 5880615.86617659 135958.696325656 221244.782716245 37482.6267796764 177771.922040377 177304.962544146 20213.213265563 87559.304885559 225660.861419823 44990.7004943178 243.660288034096 5213.78854558729 6540.55415817513 3408849.34431535 6876704.6550567 1280070.67764885 1.32623349347184 85.7834759499929 332.221729267892 0 0 2744.88493417844 0 0 0.635082015708125 0 0 0.0132715800652882 0 0 0.0249949618662819 0 0 0.00379231526472971 0 0 988.577609674247 0 0 0.0000628344911943256 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1418151.70118653
"3" 2 8334462.82656651 19299609.5239998 5785072.78063827 133172.356513952 227785.506429039 37116.4395054378 173770.233164667 174567.614620828 19788.5521232989 85588.3237975225 222176.964062872 44045.486984117 238.179325707673 5136.44098658184 6404.06511100988 3438024.45810869 6921647.86405517 1268138.05979258 2.62252295014976 170.085845718063 657.317277671837 0 0 92172.9869846175 0 0 46.9769187112023 0 0 0.895671823062287 0 0 1.6868589084354 0 0 0.256032200988565 0 0 20534.4924834979 0 0 0.00361785778968445 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1418427.45320756
"4" 3 8314335.22967592 19254550.4177378 5689545.31598658 130566.346990364 233097.336478212 36689.2830976702 169895.196476291 172535.5080964 19390.3762453203 83679.7236375763 219590.646668146 43159.2245460356 232.875746507413 5081.09597681823 6276.50982596276 3466545.7376807 6965985.68048591 1255887.29143617 3.8897926397498 253.31455672512 975.789453558175 0 0 181622.653613378 0 0 170.835872933815 0 0 6.16473094674366 0 0 11.610314233251 0 0 1.75902093013974 0 0 40243.1395435835 0 0 0.046312694873641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1418427.45320756
"5" 4 8294476.16950288 19209679.8261517 5594254.90967193 128126.58201306 237395.020340227 36214.846748061 166152.402034102 171055.477539525 19013.4505867964 81836.2577182891 217706.97141394 42320.2609835145 227.757781150477 5042.7625513487 6156.02508896567 3494434.7019298 7009878.15600211 1243377.34832525 5.12902071612623 335.786001090735 1288.03834570333 0 0 270869.051580693 0 0 359.009663932278 0 0 18.9935853572426 0 0 35.7714710209933 0 0 5.40941813278136 0 0 60066.6708565412 0 0 0.213674107088279 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1418427.45320756
"6" 5 8274871.73930986 19164982.4551832 5499197.55096319 125839.484669166 240853.136200586 35703.835863017 162545.339875009 170004.171467824 18653.6431665065 80059.645013064 216368.945504504 41519.3993060952 222.830486185249 5017.44738969297 6041.15089241416 3521713.61942584 7053450.10059967 1230616.00773522 6.34122087541154 417.743654503484 1594.38098268562 0 0 359913.588303264 0 0 600.476941046688 0 0 41.6006247301423 0 0 78.3483220255758 0 0 11.8260362866403 0 0 80007.5623436988 0 0 0.62851981630658 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1418427.45320756
"7" 6 8255509.63594452 19120448.3593026 5404370.02791367 123692.158500657 243613.719179085 35164.6037776318 159075.686854925 169282.355501026 18307.6878490237 78350.7114360078 215450.27063767 40749.3697284721 218.096198495643 5001.96108368072 5930.74259989927 3548405.18363889 7096797.96159072 1217609.55690043 7.52742650378948 499.372705171943 1895.06929892229 0 0 448757.51467694 0 0 886.030316855649 0 0 75.4526584931988 0 0 142.103375217527 0 0 21.4103479702765 0 0 100068.991823412 0 0 1.43873306316936 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1418427.45320756
"8" 7 8236378.93424098 19076071.8315317 5309769.76169038 121672.486414372 245792.429602833 34603.6619758412 155743.577607884 168810.304020245 17972.9984194284 76709.5232994057 214849.477843948 40004.4158367924 213.554960023437 4993.7617772319 5823.90222663543 3574532.23480013 7139995.38339364 1204363.10290306 8.68867720649428 580.811830391557 2190.30417482983 0 0 537401.96921097 0 0 1207.96262746457 0 0 121.428782221064 0 0 228.692270713333 0 0 34.3950830602888 0 0 120254.597058422 0 0 2.80774018434656 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1418427.45320756
"9" 8 8217469.90103658 19031850.5089536 5215394.67394716 119769.177655364 247483.548758344 34026.0821727353 152547.854816628 168524.06785146 17647.5228000217 75135.5105813241 214485.177265495 39279.9701032741 209.204906441132 4990.8288443295 5719.92466386027 3600117.52499614 7183097.70564405 1190880.81627789 9.82600752314328 662.162682728729 2480.24642094063 0 0 625848.012117693 0 0 1559.80919582886 0 0 179.952433427359 0 0 338.912487370343 0 0 50.8832127478901 0 0 140568.287020005 0 0 4.90714704720593 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1418427.45320756
"10" 9 8198773.8409142 18987784.6519174 5121243.08057516 117971.778174208 248764.0266703 33435.8129132914 149486.296323341 168372.450668813 17329.6288016341 73627.5787861233 214292.209942126 38572.3995907341 205.042616908773 4991.56083395751 5618.25562945374 3625183.52274759 7226145.6024394 1177166.12266168 10.940437622654 743.49752800511 2765.02537284881 0 0 714096.651573697 0 0 1936.13575174692 0 0 251.097591893109 0 0 472.903354627592 0 0 70.8791437117027 0 0 161014.095934962 0 0 7.9111045647322 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1418427.45320756
